Package,Built
quadprog,3.4.0
quantreg,3.4.2
R.methodsS3,3.4.0
R.oo,3.4.0
R.utils,3.4.2
R6,3.4.0
RApiDatetime,3.4.0
rappdirs,3.4.0
raster,3.4.2
RColorBrewer,3.4.0
Rcpp,3.4.3
Rcpp11,3.4.0
RcppArmadillo,3.4.3
RcppEigen,3.4.3
RcppRoll,3.4.0
RCurl,3.4.3
reader,3.4.0
readODS,3.4.0
readr,3.4.0
readxl,3.4.0
recipes,3.4.3
RecordLinkage,3.4.0
rematch,3.4.0
rematch2,3.4.1
remotes,3.4.3
reprex,3.4.0
repurrrsive,3.4.1
reshape2,3.4.3
rethinking,3.4.0
reticulate,3.4.3
revealjs,3.4.0
rex,3.4.2
RGA,3.4.0
rgdal,3.4.3
rgeos,3.4.2
RGoogleAnalytics,3.4.0
RgoogleMaps,3.4.0
rio,3.4.0
rJava,3.4.2
rjson,3.4.0
RJSONIO,3.4.0
rlang,3.4.3
rlist,3.4.0
RMariaDB,3.4.3
rmarkdown,3.4.2
RMySQL,3.4.1
robustbase,3.4.2
roxygen2,3.4.0
rprojroot,3.4.3
rsconnect,3.4.1
RSelenium,3.4.0
RSQLite,3.4.1
rstan,3.4.3
rstudioapi,3.4.1
rtf,3.4.0
Rttf2pt1,3.4.3
rtweet,3.4.2
rvest,3.4.0
scales,3.4.3
selectr,3.4.0
semver,3.4.0
servr,3.4.2
sf,3.4.3
sfsmisc,3.4.0
shiny,3.4.1
shinyAce,3.4.0
shinyBS,3.4.0
shinyjs,3.4.3
skimr,3.4.3
slackr,3.4.2
slam,3.4.3
slidify,3.4.0
slidifyLibraries,3.4.0
SnowballC,3.4.0
sourcetools,3.4.0
sp,3.4.3
SparseM,3.4.0
spatial,3.4.0
splashr,3.4.3
sqldf,3.4.1
SQUAREM,3.4.2
StanHeaders,3.4.3
stopwords,3.4.3
stringi,3.4.2
stringr,3.4.0
styler,3.4.3
subprocess,3.4.2
survival,3.4.0
svgPanZoom,3.4.0
sys,3.4.2
tableHTML,3.4.2
testthat,3.4.3
texPreview,3.4.1
thesisdown,3.4.0
tibble,3.4.1
tidyjson,3.4.0
tidyr,3.4.2
tidyselect,3.4.2
tidyshiny,3.4.0
tidytext,3.4.3
tidyverse,3.4.2
tigris,3.4.3
timeDate,3.4.2
tokenizers,3.4.0
triebeard,3.4.0
twitteR,3.4.0
udunits2,3.4.0
units,3.4.3
urltools,3.4.3
USAboundaries,3.4.0
usethis,3.4.3
utf8,3.4.3
uuid,3.4.0
V8,3.4.0
viridis,3.4.3
viridisLite,3.4.0
waffle,3.4.0
WDI,3.4.0
wdman,3.4.0
wesanderson,3.4.0
whisker,3.4.0
withr,3.4.3
wordcloud,3.4.0
XML,3.4.1
xml2,3.4.0
XML2R,3.4.0
xtable,3.4.0
xts,3.4.3
yaml,3.4.3
zoo,3.4.3
